,,,,,effect_difference_mse,effect_difference_mse,effect_difference_mse,effect_difference_pearson,effect_difference_pearson,effect_difference_pearson
,,,,,mean,count,<lambda_0>,mean,count,<lambda_0>
state,export,method,anchor_a,anchor_b,,,,,,
B-unfreeze,external,no_change,ACH-000739,ACH-000995,12.90320058994823,234,0,,0,234
B-unfreeze,external,no_change,ACH-000971,ACH-000995,4.607949663691806,217,0,,0,217
B-unfreeze,external,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-unfreeze,external,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-unfreeze,external,perturbation_mean,ACH-000551,ACH-000995,3.4507338167413284,228,0,0.011750555406475734,208,20
B-unfreeze,external,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
B-unfreeze,external,perturbation_mean,ACH-000739,ACH-000995,12.903200630194101,234,0,0.043234673258561014,132,102
B-unfreeze,external,perturbation_mean,ACH-000971,ACH-000995,4.607949641580406,217,0,0.003048345780933493,189,28
B-unfreeze,internal,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
B-unfreeze,internal,global_mean,ACH-000551,ACH-000971,3.3729578410044754,101,0,-0.06913237565014796,101,0
B-unfreeze,internal,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-unfreeze,internal,model,ACH-000551,ACH-000739,9.74219189797129,28,0,0.15697389656624106,28,0
B-unfreeze,internal,model,ACH-000551,ACH-000971,3.667386584942884,101,0,0.3568460525027024,101,0
B-unfreeze,internal,model,ACH-000739,ACH-000971,14.222889507810274,24,0,0.273931053403985,24,0
B-unfreeze,internal,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-unfreeze,internal,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-unfreeze,internal,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
B-unfreeze,internal,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-unfreeze,internal,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-unfreeze,internal,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
