state,export,role,panel,method,mean_delta_mse,energy_distance,response_loss,without_own_response_loss,identity_advantage,output_change_mse
B-init,internal,val,all,model,162.2794971767046,738.3330844050566,900.612581981129,900.6253642251587,-0.004950920497728409,0.026892555557624872
B-init,internal,val,all,no_change,4.877595749017426,20.475006116899213,25.35260181546128,25.32582519822338,,
B-init,internal,val,all,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-init,internal,val,native_all,global_mean,6.070032047230181,26.391119169161993,32.46115126473699,32.43002077389663,,
B-init,internal,val,native_all,model,158.9205844044619,720.2474077803141,879.1679927359719,879.1839831457173,-0.012735793559984478,0.030233115881137015
B-init,internal,val,native_all,no_change,6.347072728181362,27.364456687918732,33.711529335853925,33.67961249508778,,
B-init,internal,val,native_all,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-init,internal,val,native_common,global_mean,6.0193024938351,26.27548722213913,32.29478976920751,32.26318116101522,,
B-init,internal,val,native_common,model,158.73407007019117,720.038354092249,878.7724245211708,878.7886625199195,-0.012182257607356464,0.02963848398893884
B-init,internal,val,native_common,no_change,6.293661360476037,27.237443619138734,33.53110489231618,33.498697874366776,,
B-init,internal,val,native_common,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-init,internal,val,seen,global_mean,4.7603540020359025,20.510574426231344,25.270928454076326,25.24242623679613,,
B-init,internal,val,seen,model,161.61842790735912,736.4659019981027,898.0843300470547,898.0987869809632,-0.005167792651426767,0.02682583978897977
B-init,internal,val,seen,no_change,4.899823893799088,20.769979508824175,25.66980334117132,25.64101523527945,,
B-init,internal,val,seen,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-init,internal,val,unseen,global_mean,7.532479180755867,28.36997667003747,35.90245557137101,35.90214720794425,,
B-init,internal,val,unseen,model,172.65149773120277,758.7485374438993,931.4000443178052,931.4047479008699,-0.00438492184212177,0.02766707457800081
B-init,internal,val,unseen,no_change,7.726731053203646,28.79131102750973,36.51804270897088,36.5176776576491,,
B-interface,external,external,all,global_mean,4.233731171800326,27.863338048386886,32.097069200468404,32.048893969150264,,
B-interface,external,external,all,model,20.06163482160492,115.89512536382294,135.95676026526849,135.95414001760133,0.1924547303761059,0.006624524604724458
B-interface,external,external,all,no_change,4.533118653454774,29.775339013445915,34.3084577028622,34.2586917691638,,
B-interface,external,external,all,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
B-interface,external,external,native_all,global_mean,4.159581395172996,28.501102574729636,32.6606839751058,32.610438317312656,,
B-interface,external,external,native_all,model,19.40123540789052,113.92084408613388,133.32207957258743,133.32007134239612,0.20575379371168373,0.00680418252202096
B-interface,external,external,native_all,no_change,4.491814679852346,30.64079322644049,35.13260792724643,35.08057035635573,,
B-interface,external,external,native_all,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-interface,external,external,native_common,global_mean,4.161620705654976,28.513336151214325,32.674956861307706,32.62463606045705,,
B-interface,external,external,native_common,model,19.40048631309631,113.8971077109857,133.2975941027625,133.29558286923591,0.20230779410121688,0.006791945530368336
B-interface,external,external,native_common,no_change,4.493920292887291,30.652925744251622,35.1468460582427,35.094730664464315,,
B-interface,external,external,native_common,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-interface,external,external,seen,global_mean,4.237102380076567,27.882839397393447,32.11994175703979,32.071685320106276,,
B-interface,external,external,seen,model,20.059526653667568,115.8726652927455,135.93219202638826,135.92956736195305,0.1895573075491817,0.006612119310246488
B-interface,external,external,seen,no_change,4.5365856779378975,29.79516566196575,34.33175137602625,34.28190155537682,,
B-interface,external,external,seen,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
