export,role,model_id,panel,state,metric,contrast,pairs,undefined,unmatched_left,unmatched_right,delta,relative_improvement_pct,ci_low,ci_high
external,external,ACH-000995,unseen,B-joint,response_loss,wrong_minus_correct,4,0,0,0,-0.04833145141601847,,-0.5155639648437571,0.32868576049803977
external,external,ACH-000995,unseen,B-joint,mean_delta_mse,wrong_minus_correct,4,0,0,0,0.009744453430174715,,-0.05833616256713903,0.07535085678100373
external,external,ACH-000995,unseen,B-joint,energy_distance,wrong_minus_correct,4,0,0,0,-0.058074951171867895,,-0.5308624267577926,0.2758239746093736
external,external,ACH-000995,unseen,B-joint,without_own_response_loss,wrong_minus_correct,4,0,0,0,-0.04833145141601847,,-0.5155639648437571,0.32868576049803977
external,external,ACH-000995,unseen,B-unfreeze,response_loss,wrong_minus_correct,4,0,0,0,0.28713951110839986,,-0.4737709045410128,1.0480499267578125
external,external,ACH-000995,unseen,B-unfreeze,mean_delta_mse,wrong_minus_correct,4,0,0,0,0.05127573013305664,,-0.05373954772949219,0.15629100799560547
external,external,ACH-000995,unseen,B-unfreeze,energy_distance,wrong_minus_correct,4,0,0,0,0.23586120605467897,,-0.4200332641601676,0.8917556762695256
external,external,ACH-000995,unseen,B-unfreeze,without_own_response_loss,wrong_minus_correct,4,0,0,0,0.28713951110839986,,-0.4737709045410128,1.0480499267578125
external,val,ACH-000551,all,B-continue,response_loss,wrong_minus_correct,983,0,0,0,0.23581862114938326,,0.17484792425576695,0.2952105898265315
external,val,ACH-000551,all,B-continue,mean_delta_mse,wrong_minus_correct,983,0,0,0,0.03800198978470641,,0.02757080441388176,0.0480657298876956
external,val,ACH-000551,all,B-continue,energy_distance,wrong_minus_correct,983,0,0,0,0.19781664269137839,,0.14743868116687295,0.24696630165511443
external,val,ACH-000551,all,B-continue,without_own_response_loss,wrong_minus_correct,983,0,0,0,0.23614040187513596,,0.17502345953807466,0.2953496731115867
external,val,ACH-000551,all,B-init,response_loss,wrong_minus_correct,983,0,0,0,-0.005960048857929946,,-0.07118066160992073,0.0640559871514469
external,val,ACH-000551,all,B-init,mean_delta_mse,wrong_minus_correct,983,0,0,0,-0.00113606535406106,,-0.015232022102099814,0.014052367642112533
external,val,ACH-000551,all,B-init,energy_distance,wrong_minus_correct,983,0,0,0,-0.004823869800276936,,-0.05711609957783299,0.05135054952130563
external,val,ACH-000551,all,B-init,without_own_response_loss,wrong_minus_correct,983,0,0,0,-0.005976201753044675,,-0.07121782793761364,0.06405106553226159
external,val,ACH-000551,all,B-interface,response_loss,wrong_minus_correct,983,0,0,0,0.14141860648550075,,0.10020890791806665,0.1832352398479943
external,val,ACH-000551,all,B-interface,mean_delta_mse,wrong_minus_correct,983,0,0,0,0.022766945699830506,,0.015965778632800066,0.02965936156370633
external,val,ACH-000551,all,B-interface,energy_distance,wrong_minus_correct,983,0,0,0,0.1186516545432509,,0.08423115595432411,0.15315373867962395
external,val,ACH-000551,all,B-interface,without_own_response_loss,wrong_minus_correct,983,0,0,0,0.14177492938230873,,0.10068785672876629,0.18352398120374674
external,val,ACH-000551,all,B-joint,response_loss,wrong_minus_correct,983,0,0,0,0.006657476415468955,,-0.01390450948131198,0.02809218351377758
external,val,ACH-000551,all,B-joint,mean_delta_mse,wrong_minus_correct,983,0,0,0,0.0008370800154133645,,-0.007209988600846555,0.008918035454813053
external,val,ACH-000551,all,B-joint,energy_distance,wrong_minus_correct,983,0,0,0,0.005820403773326731,,-0.01321024005070934,0.02534874381514582
external,val,ACH-000551,all,B-joint,without_own_response_loss,wrong_minus_correct,983,0,0,0,0.0066323933256975665,,-0.013943171224662345,0.028058899872664845
external,val,ACH-000551,all,B-unfreeze,response_loss,wrong_minus_correct,983,0,0,0,1.290798456089179,,0.981648299194425,1.6168337422124246
external,val,ACH-000551,all,B-unfreeze,mean_delta_mse,wrong_minus_correct,983,0,0,0,0.20649087054016385,,0.1539745721222486,0.2632000409508179
external,val,ACH-000551,all,B-unfreeze,energy_distance,wrong_minus_correct,983,0,0,0,1.0843075943381233,,0.8283781359372765,1.357533976107624
