job_key,evaluation_scope,fold,feature_set,model,weighting,rank,perturbation_gene,y_true,y_pred,predicted_dependency_score,observed_n_cells,target_gene_index,top_k
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,16,DDX47,-1.2135182619094849,-1.7288024957246295,1.7288024957246295,313,-1,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,17,RUVBL2,-2.310875177383423,-1.647968801871934,1.647968801871934,14,7638,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,18,EIF3B,-1.8424724340438843,-1.6411798638321835,1.6411798638321835,34,3129,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,19,EIF3G,-1.4894412755966187,-1.6354331816646657,1.6354331816646657,67,7299,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,20,POLR2I,-1.5026838779449463,-1.631435733940508,1.631435733940508,223,7500,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,1,RPL18,-1.3525253534317017,-2.4240674658787578,2.4240674658787578,308,7631,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,2,RPL27A,-2.04221773147583,-2.413651051257081,2.413651051257081,202,4495,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,3,RPL30,-0.8833933472633362,-2.1690686047327756,2.1690686047327756,365,3707,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,4,RPL13,-1.5430476665496826,-2.1327425283934036,2.1327425283934036,337,6518,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,5,RPS24,-2.2173612117767334,-2.108589429234443,2.108589429234443,243,4294,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,6,RPL7A,-2.6865854263305664,-2.1078004848274854,2.1078004848274854,10,4088,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,7,PSMB2,-1.707536220550537,-1.9306615312589854,1.9306615312589854,53,215,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,8,RPS15A,-2.0807714462280273,-1.9194119740446391,1.9194119740446391,314,6254,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,9,RPLP0,-1.2414323091506958,-1.8382071958541149,1.8382071958541149,184,5315,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,10,SNRPD1,-3.2732887268066406,-1.837066275834926,1.837066275834926,146,7089,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,11,RPS11,-2.090801954269409,-1.8152024508961537,1.8152024508961537,268,7645,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,12,AQR,-1.3388904333114624,-1.7754345069080306,1.7754345069080306,90,5861,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,13,RPS12,-1.651157021522522,-1.7484718370593495,1.7484718370593495,485,3042,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,14,FAU,-2.660886764526367,-1.692361339992125,1.692361339992125,48,4692,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,15,PSMD13,-1.0634939670562744,-1.622276877489696,1.622276877489696,122,4443,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,16,SPC25,-1.5397162437438965,-1.6083674182413263,1.6083674182413263,199,1277,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,17,POLR2H,-1.1646013259887695,-1.5836674224261007,1.5836674224261007,102,1914,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,18,PSMC5,-1.3588958978652954,-1.5755342804325376,1.5755342804325376,17,6915,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,19,ZFC3H1,-0.45146825909614563,-1.5565900752799222,1.5565900752799222,117,5185,20
internal_cv_all|3|delta_all|pca100_random_forest|unweighted,internal_cv_all,3,delta_all,pca100_random_forest,unweighted,20,RPS3A,-3.5975406169891357,-1.5545739335341033,1.5545739335341033,160,2214,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,1,RPL17,-3.6655125617980957,-2.148970560886755,2.148970560886755,149,7126,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,2,RPL5,-1.9839783906936646,-2.147359620685172,2.147359620685172,200,422,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,3,RPL36,-2.055920362472534,-2.0607146956384423,2.0607146956384423,204,7253,20
internal_cv_all|4|delta_all|pca100_random_forest|unweighted,internal_cv_all,4,delta_all,pca100_random_forest,unweighted,4,RPS6,-2.476200819015503,-2.0277845203433444,2.0277845203433444,178,3830,20
