depmap_column,gene_symbol,entrez_id,training_std,training_dependency_prevalence,training_line_count
EIF2AK4 (440275),EIF2AK4,440275,0.3770879818873723,0.24242424242424243,33
EIF5AL1 (143244),EIF5AL1,143244,0.3095817766164161,0.42424242424242425,33
ELAVL1 (1994),ELAVL1,1994,0.3266365088916468,0.18181818181818182,33
ELMO2 (63916),ELMO2,63916,0.3895624008279572,0.2727272727272727,33
ELOF1 (84337),ELOF1,84337,0.28541462066082807,0.3939393939393939,33
ELP2 (55250),ELP2,55250,0.29015525301398115,0.696969696969697,33
ELP4 (26610),ELP4,26610,0.28915920966136,0.3939393939393939,33
ENO1 (2023),ENO1,2023,0.31602684555226057,0.6363636363636364,33
EP300 (2033),EP300,2033,0.4560189695141663,0.3333333333333333,33
ESCO2 (157570),ESCO2,157570,0.29071364706821423,0.18181818181818182,33
EXOC1 (55763),EXOC1,55763,0.3278117817580454,0.45454545454545453,33
EXOSC10 (5394),EXOSC10,5394,0.2848500771224304,0.7878787878787878,33
FADD (8772),FADD,8772,0.34573257557543496,0.18181818181818182,33
FAF2 (23197),FAF2,23197,0.2996250940785084,0.6060606060606061,33
FAM185A (222234),FAM185A,222234,0.28762511846054617,0.06060606060606061,33
FAM210A (125228),FAM210A,125228,0.3508902205823529,0.45454545454545453,33
FAM50A (9130),FAM50A,9130,0.6892585800830612,0.5757575757575758,33
FAM98B (283742),FAM98B,283742,0.31252714178946484,0.3333333333333333,33
FARS2 (10667),FARS2,10667,0.3176133153642057,0.45454545454545453,33
FBXO42 (54455),FBXO42,54455,0.3701090012427569,0.15151515151515152,33
FBXW11 (23291),FBXW11,23291,0.2873472931246995,0.15151515151515152,33
FDFT1 (2222),FDFT1,2222,0.28947192618327705,0.06060606060606061,33
FDPS (2224),FDPS,2224,0.40126690316765706,0.6666666666666666,33
FDX1 (2230),FDX1,2230,0.2909736136661454,0.3333333333333333,33
FDXR (2232),FDXR,2232,0.3153537951072495,0.696969696969697,33
FECH (2235),FECH,2235,0.3876120118546644,0.3333333333333333,33
FERMT1 (55612),FERMT1,55612,0.4578431558007018,0.15151515151515152,33
FERMT2 (10979),FERMT2,10979,0.6283254632462342,0.5757575757575758,33
FGFR1 (2260),FGFR1,2260,0.4245767187927781,0.12121212121212122,33
FLII (2314),FLII,2314,0.30325412205213625,0.36363636363636365,33
FOSL1 (8061),FOSL1,8061,0.3429911825209941,0.30303030303030304,33
FOXA2 (3170),FOXA2,3170,0.3495756218120155,0.09090909090909091,33
FOXO3B (2310),FOXO3B,2310,0.3393494025050988,0.15151515151515152,33
FPGS (2356),FPGS,2356,0.5868698851005689,0.45454545454545453,33
FURIN (5045),FURIN,5045,0.3467864654201784,0.24242424242424243,33
FXN (2395),FXN,2395,0.44915249393309287,0.5454545454545454,33
FZD5 (7855),FZD5,7855,0.4914633705832182,0.09090909090909091,33
GABPA (2551),GABPA,2551,0.3016425633218094,0.7575757575757576,33
GABPB1 (2553),GABPB1,2553,0.29924024272096583,0.48484848484848486,33
GART (2618),GART,2618,0.555364244419847,0.42424242424242425,33
GCN1 (10985),GCN1,10985,0.30162783407371313,0.6666666666666666,33
GEMIN2 (8487),GEMIN2,8487,0.40279296523639624,0.6666666666666666,33
GEMIN4 (50628),GEMIN4,50628,0.3036043832486474,0.6060606060606061,33
GEMIN7 (79760),GEMIN7,79760,0.2881024200262397,0.7878787878787878,33
GFM1 (85476),GFM1,85476,0.3222106896839731,0.5151515151515151,33
GFPT1 (2673),GFPT1,2673,0.35104558186019624,0.30303030303030304,33
